,Zipcode,Communication,Energy,"Food, Water & Shelter",Hazardous Material,Health & Medical,Saftey & Security,Transportation
0,77002,13.0,11.0,4.0,0.0,7.0,3.0,3.0
1,77077,0.0,1.0,0.0,0.0,0.0,1.0,3.0
2,77040,0.0,2.0,1.0,1.0,0.0,2.0,1.0
3,77071,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,77201,6.0,6.0,10.0,0.0,1.0,9.0,9.0
5,77088,1.0,0.0,0.0,0.0,0.0,2.0,1.0
6,77010,12.0,7.0,10.0,1.0,3.0,2.0,5.0
7,77061,1.0,4.0,0.0,0.0,0.0,2.0,2.0
8,77035,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9,77021,3.0,4.0,1.0,0.0,1.0,2.0,0.0
10,77029,0.0,1.0,5.0,0.0,0.0,1.0,0.0
11,77036,0.0,0.0,1.0,0.0,2.0,1.0,1.0
12,77017,3.0,4.0,1.0,0.0,3.0,1.0,1.0
13,77058,0.0,2.0,1.0,0.0,0.0,1.0,0.0
14,77028,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15,77033,0.0,1.0,2.0,0.0,1.0,1.0,0.0
16,77011,4.0,0.0,1.0,0.0,2.0,1.0,6.0
17,77063,0.0,1.0,1.0,1.0,1.0,1.0,2.0
18,77022,1.0,2.0,2.0,0.0,0.0,1.0,1.0
19,77008,12.0,11.0,7.0,1.0,19.0,1.0,4.0
20,77018,5.0,5.0,6.0,0.0,7.0,1.0,3.0
21,77092,5.0,4.0,2.0,0.0,3.0,1.0,6.0
22,77006,9.0,8.0,3.0,0.0,9.0,1.0,2.0
23,77090,0.0,0.0,0.0,0.0,5.0,1.0,1.0
24,77073,0.0,1.0,0.0,0.0,2.0,1.0,0.0
25,77095,0.0,0.0,1.0,0.0,1.0,3.0,3.0
26,77066,0.0,3.0,1.0,1.0,0.0,1.0,1.0
27,77584,0.0,1.0,0.0,0.0,4.0,1.0,1.0
28,77039,0.0,0.0,0.0,0.0,0.0,2.0,1.0
29,77388,0.0,1.0,0.0,0.0,2.0,1.0,0.0
30,77038,0.0,1.0,1.0,0.0,0.0,1.0,0.0
31,77573,0.0,1.0,2.0,0.0,3.0,1.0,0.0
32,77024,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33,77089,0.0,0.0,2.0,0.0,0.0,2.0,0.0
34,77477,0.0,1.0,3.0,0.0,0.0,1.0,0.0
35,77389,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,77406,0.0,0.0,1.0,0.0,0.0,2.0,1.0
37,77057,1.0,0.0,1.0,0.0,0.0,1.0,3.0
38,77019,10.0,3.0,3.0,0.0,2.0,2.0,0.0
39,77026,1.0,2.0,3.0,0.0,2.0,1.0,1.0
40,77054,4.0,5.0,9.0,0.0,13.0,1.0,5.0
41,77045,0.0,4.0,1.0,1.0,1.0,1.0,2.0
42,77093,3.0,3.0,1.0,0.0,1.0,1.0,1.0
43,77081,0.0,0.0,2.0,1.0,1.0,1.0,1.0
44,77478,0.0,1.0,1.0,0.0,3.0,1.0,0.0
45,77060,0.0,5.0,0.0,0.0,0.0,1.0,1.0
46,77004,5.0,6.0,3.0,0.0,14.0,0.0,1.0
47,77049,1.0,2.0,0.0,1.0,1.0,0.0,0.0
48,77064,1.0,2.0,5.0,1.0,0.0,0.0,2.0
49,77003,4.0,10.0,8.0,0.0,2.0,0.0,1.0
50,77027,14.0,8.0,2.0,0.0,12.0,0.0,1.0
